codi,nom_districte,nom_barri,tipusobra,pressupost_licitacio,pressupost_adjudicacio,data_inici,data_fi,duracion_dias,estat,titol,constructor,geometria_wgs84
06-2024G0002,Gràcia, la Vila de Gràcia,Serveis,,,2024-02-25,2024-05-13,78,Finalitzada,Canalització d'Agbar al carrer de Còrsega (carrers del Torrent de l'Olla - de Milà  i Fontanals),"Aigües de Barcelona, Serveis de Construcció","POLYGON ((2.16146077630923 41.3984265002522, 2.16155129425457 41.3983384198925, 2.16156780896058 41.3983381115407, 2.1621062049014 41.3987522953717, 2.16277726302602 41.3992553246764, 2.1627857820877 41.3992625137308, 2.16278082862942 41.3992658536655, 2.16283542375853 41.3993094955891, 2.16284231714171 41.399304722919, 2.16390964171589 41.4001029449718, 2.16391331193711 41.4001053294681, 2.16390171198921 41.40011275157, 2.16393820344372 41.4001400203415, 2.16397267451589 41.4001158351684, 2.16286149258164 41.3992911977626, 2.16286598022618 41.3992853358483, 2.16281156901085 41.3992439995165, 2.16280574511513 41.3992486192058, 2.16158449674695 41.3983132616178, 2.16156674248157 41.3983103457214, 2.16154662156005 41.3983143788815, 2.16152839670748 41.3983259280306, 2.16148043113084 41.3983756822908, 2.16147061215751 41.3983699841007, 2.16145300383113 41.3983889327319, 2.161463439143 41.398396510959, 2.16145941008085 41.3983999111611, 2.1614554168336 41.3984005251021, 2.1614415639376 41.3984152141437, 2.16146077630923 41.3984265002522))"
09-2024G0031,Sant Andreu, Navas,Pavimentacions,,,2024-11-11,2024-11-19,8,Finalitzada,Pavimentació del carrer de Sant Antoni Maria Claret (avinguda de la Meridiana - passeig de Maragall),AMSA,"POLYGON ((2.18060547268068 41.4158281764382, 2.18056143351429 41.416036495016, 2.18057681578279 41.4160262590661, 2.18058608337073 41.4160211427546, 2.18059737298974 41.4160165863508, 2.18060835219936 41.4160136642565, 2.18061808861439 41.4160116061214, 2.18062429528035 41.416010750238, 2.1806415117963 41.4160103000685, 2.18065273491435 41.4160110346048, 2.18066827394032 41.4160138195213, 2.18069596382826 41.4160252528895, 2.18070444696743 41.4160306592697, 2.18071015101067 41.4160352003229, 2.18125552595228 41.4164457037291, 2.1812633867683 41.416451623871, 2.1819682389082 41.4169786743274, 2.18197419707945 41.4169831898493, 2.18197868793038 41.4169862493441, 2.18198177473802 41.4169891266803, 2.18198605426545 41.4169940479198, 2.18198853634503 41.4169983750733, 2.18198986970689 41.417002385507, 2.1819904506673 41.4170046347401, 2.18199251344282 41.4172069779693, 2.18196701792468 41.4172261349166, 2.18205154955587 41.4172884191351, 2.18206334539114 41.4172796248704, 2.18206746924833 41.417277281233, 2.18207249237524 41.4172754622204, 2.1820767526008 41.4172738014359, 2.18235604885935 41.4172740325544, 2.18237018562282 41.4172788329058, 2.18314618455712 41.4178564183383, 2.18315472624777 41.4178629705175, 2.1831617110238 41.417869429816, 2.18317226499413 41.4178807609436, 2.18318101651106 41.4178931600588, 2.18318935521022 41.4179101299777, 2.18319466792695 41.417928578557, 2.18319587972051 41.4179394069505, 2.18319443352564 41.4179530701565, 2.18318867623597 41.4179729948375, 2.18318397372462 41.4179839261415, 2.18317239105363 41.4180031821299, 2.18316399568069 41.4180138690116, 2.18315558457065 41.4180200280729, 2.18326002840302 41.4180997317068, 2.18327018289452 41.4180946896657, 2.18328120625281 41.4180897083423, 2.1832941543112 41.4180843861014, 2.18330054622122 41.4180817721293, 2.18330500112889 41.4180804808988, 2.18331739769177 41.4180772413045, 2.18332916670451 41.4180749246161, 2.1833395686715 41.4180732664688, 2.18335254870647 41.4180726221706, 2.1833601606988 41.4180724034486, 2.18339254534356 41.4180731242723, 2.18341322865972 41.4180765441203, 2.18345020791307 41.4180865166068, 2.18346404968622 41.418092288119, 2.18347967365053 41.4181004179581, 2.18349397279496 41.4181101749137, 2.18354496084908 41.4181473039356, 2.18360557121921 41.418194402167, 2.18361978086312 41.4182055222392, 2.18362913581827 41.4182136893993, 2.18363607249357 41.4182211029648, 2.18364566948946 41.4182330903898, 2.1836508992231 41.4182437103335, 2.18365256182785 41.4182498318088, 2.18367194349606 41.4183535293299, 2.18379596349416 41.4183488269929, 2.18379425250426 41.4183374070894, 2.18379417788606 41.4183365743438, 2.18379452899621 41.4183352153589, 2.18379495914621 41.4183341410343, 2.18379608281606 41.4183326624996, 2.18379732663727 41.4183317166865, 2.18379871367694 41.4183309082662, 2.18380013216744 41.418330481924, 2.18380222145214 41.4183300194275, 2.1838039967937 41.4183300320224, 2.18380575111706 41.4183302763085, 2.18380753825721 41.418330793581, 2.18380951767037 41.4183318713622, 2.18382062972281 41.4183400646096, 2.18384631020482 41.4183582212431, 2.1838629238752 41.4183712403382, 2.18438434920012 41.4187557837281, 2.18438359444645 41.4188508602348, 2.18441985412618 41.4188778471241, 2.1844260660743 41.4188736907571, 2.18454202956964 41.4188727671342, 2.18542232735434 41.4195073999357, 2.18542578631976 41.4195118703072, 2.18542837230638 41.4195166072512, 2.18543003851703 41.4195224559719, 2.18543022024243 41.4197224946274, 2.18542925104635 41.419727560979, 2.18542513156654 41.4197360758132, 2.18542137123981 41.4197397722733, 2.18550874662757 41.419801187624, 2.18550944287892 41.4198005652202, 2.18551549662818 41.4197974714135, 2.18552215780662 41.4197950637901, 2.18552941721372 41.4197940787195, 2.18553627090944 41.4197936635582, 2.18580263343544 41.4197911303076, 2.18580975654885 41.4197923535573, 2.18581516686611 41.4197943556704, 2.18582110874561 41.419797316182, 2.18668823004335 41.4204299639993, 2.18674465539508 41.4202174515599, 2.18673651717853 41.420224976577, 2.18672138556235 41.4202353978943, 2.18671292789001 41.4202394839584, 2.18670309678249 41.4202432875594, 2.18669131183829 41.4202468591447, 2.18668255223003 41.4202490065229, 2.18667263930472 41.420250654791, 2.1866631354862 41.4202514604147, 2.18664780741434 41.4202514884282, 2.18664266443351 41.4202512884169, 2.18663260675714 41.4202500171966, 2.18662309971601 41.4202481770862, 2.18661356563143 41.4202456003495, 2.18660876882293 41.420243793539, 2.18659571934356 41.4202383553114, 2.18658780399704 41.4202338261927, 2.18658090316279 41.4202293042464, 2.18591149315432 41.4197411412422, 2.18590663709374 41.4197353790583, 2.18590367260474 41.4197290302017, 2.1859023327774 41.419723156522, 2.18590257327688 41.4195269121249, 2.18590360054839 41.4195142909096, 2.18590580514384 41.4195087679099, 2.18590913359241 41.4195041069219, 2.18590952730278 41.4195037721754, 2.1858272725776 41.4194385373121, 2.18581454935327 41.4194476117879, 2.18580602130782 41.4194515336359, 2.18579817064718 41.4194534419016, 2.18578446741798 41.4194539449803, 2.18552075360627 41.419447605181, 2.18551533242237 41.4194464757882, 2.18550371271378 41.4194426295286, 2.18549743968059 41.4194400757863, 2.18545049567334 41.4194068220894, 2.18463138529522 41.4188117291834, 2.18463004039861 41.4187171901189, 2.18459382152379 41.4186920105761, 2.18447434599052 41.4186956368916, 2.18376501161985 41.4181762071638, 2.1837616911738 41.4181635823952, 2.18367835184419 41.4178567160389, 2.18358647545624 41.4178807489199, 2.18360801988518 41.4179857866698, 2.18362311446953 41.4180635623612, 2.18361742686453 41.4180663586387, 2.18361301279226 41.4180658363604, 2.18350471164345 41.4179845237005, 2.18349182990452 41.4179194623965, 2.18337530699344 41.4178263355873, 2.18336212945276 41.4178282877032, 2.18334736730578 41.4178294648597, 2.18332404262709 41.4178286446838, 2.18330089225765 41.4178254800605, 2.18328842906174 41.4178224731251, 2.18327695196733 41.4178188458555, 2.18326761217153 41.4178152610328, 2.18325471180151 41.4178095507306, 2.18324139989528 41.4178019827816, 2.18245285776634 41.4172162080742, 2.18244916742267 41.4172070991582, 2.18244254815815 41.4170046485483, 2.18244328460761 41.4169993760007, 2.18244508344397 41.4169953452124, 2.18244566408171 41.4169945515344, 2.18247081141552 41.4169756920343, 2.18247358299495 41.416973550157, 2.18238936095075 41.4169104160907, 2.18236895944283 41.4169257294105, 2.18236561732807 41.416926414818, 2.18235861420551 41.4169272105841, 2.18207496342639 41.416928153747, 2.18207235132116 41.4169276919523, 2.1820684879849 41.4169266007477, 2.18206473813128 41.4169251284948, 2.18206128325585 41.4169232492087, 2.18133410881727 41.4163805071648, 2.1813291063635 41.4161801477201, 2.18133025813415 41.4161764328298, 2.18133243051595 41.4161722342454, 2.18133534852836 41.4161678091262, 2.1813443481544 41.4161609452242, 2.18126107437856 41.4160996513426, 2.18096813690481 41.4160981459212, 2.1809631895353 41.4160975447375, 2.18095967645007 41.4160959786704, 2.18095665401446 41.4160942933569, 2.18061598604824 41.415835649755, 2.1806111342398 41.4158324921722, 2.18060547268068 41.4158281764382))"
01-2022G0045,Ciutat Vella, el Raval,Serveis,,,2023-01-16,2023-04-20,94,Finalitzada,"Canalització de mitja tensió al carrer del Pintor Fortuny, entre Àngels i Xuclà",UTE MT/BT Barcelona Sur,"POLYGON ((2.17028492514007 41.3833450008737, 2.17027451560123 41.383298780632, 2.17033395709547 41.383257205294, 2.17019640173861 41.3831408504379, 2.17005532747337 41.3830232868252, 2.16991671686938 41.3829313080035, 2.16914547540593 41.3824865781405, 2.16911431135286 41.3823655134464, 2.16903617026557 41.3823179413053, 2.16887382401587 41.3823325845231, 2.16849655355097 41.3821041322349, 2.16848194839867 41.3821180715047, 2.16886712712062 41.3823494413379, 2.16902629932819 41.3823344404936, 2.16909248662111 41.3823736272425, 2.16912769560072 41.3824980049279, 2.16990474056738 41.3829388654368, 2.17004158804015 41.3830291493687, 2.17031245578371 41.3832547464103, 2.1702578714912 41.3832939502276, 2.17027087827084 41.3833474329878, 2.17028492514007 41.3833450008737))"
06-2023G0048,Gràcia, la Vila de Gràcia,Urbanització,,,2023-10-09,2023-11-03,25,Finalitzada,Pavimentació de vorera al carrer de la Providència (carrers del Torrent de les Flors - Escorial),CONSTRAULA ENGINYERIA I OBRES SAU,"POLYGON ((2.16004273686036 41.4085020653845, 2.16007226186974 41.408465819892, 2.15878672700886 41.4078021041606, 2.15876032811137 41.4078306242124, 2.16004273686036 41.4085020653845))"
02-2022G0043,Eixample, el Fort Pienc,Pavimentacions,,,2022-10-03,2023-01-24,113,Finalitzada,Sin título,ENDEABOC SL,"POLYGON ((2.18611803998671 41.3976875586465, 2.1859302139857 41.3975434460706, 2.18401069639377 41.398991577331, 2.18414138593291 41.3991614000833, 2.18611803998671 41.3976875586465))"
02-2024G0003,Eixample, l'Antiga Esquerra de l'Eixample,Urbanització,380394.16,354261.13,2024-02-05,2024-08-26,203,Finalitzada,Millores puntuals als Jardins de Cèsar Martinell,UTE JARDINS MARTINELL (Drim-Talio),"MULTIPOLYGON (((2.16037665520774 41.3835918409973, 2.15998491731922 41.3832993083901, 2.15995184231571 41.3833318601518, 2.16033998727264 41.3836216338832, 2.16037665520774 41.3835918409973)), ((2.15954682727585 41.3842115867842, 2.15996774077309 41.3839290861344, 2.15956821769543 41.3836071180282, 2.15936490348559 41.3837573015042, 2.15934142620082 41.3837489316788, 2.15913990749756 41.3839004942534, 2.15954682727585 41.3842115867842)))"
05-2024G0015,Sarrià-Sant Gervasi, Sant Gervasi - la Bonanova,Serveis,,30000.0,2024-05-16,2024-05-23,7,Finalitzada,"Canalització d'Agbar al carrer de l'Esperança, a la cruïlla amb el carrer d'Iradier","Aigues De Barcelona, Serveis De Canalitzacio I Obres S.L.","POLYGON ((2.12617747332273 41.4037565909973, 2.12616765533107 41.4037514147459, 2.1261079759682 41.403814055781, 2.12611724715903 41.4038187593621, 2.12617747332273 41.4037565909973))"
04-2024G0044,Les Corts, la Maternitat i Sant Ramon,Urbanització,2028983.79,1821952.3,2025-01-13,2025-08-08,207,Finalitzada,Sin título,AMBITEC Servicios Ambientales S.A.U,"MULTIPOLYGON (((2.12580313774943 41.3788339150885, 2.1260374999868 41.3789797637813, 2.12657705740656 41.3784475954803, 2.12584024797283 41.3780187278344, 2.12547399885892 41.3786008679416, 2.12582913099105 41.3788026430932, 2.12580313774943 41.3788339150885)), ((2.12342212748388 41.3790627859937, 2.12555234691716 41.3805140826027, 2.1255834417277 41.3805241681416, 2.12561206397061 41.3805215333095, 2.12652306772995 41.3799960593087, 2.12652645126615 41.3799818915334, 2.12651502476851 41.3799660374046, 2.12540352145427 41.3792580367015, 2.12533385175992 41.3790490181542, 2.12398035527633 41.3782277389263, 2.12342212748388 41.3790627859937)), ((2.12994164918398 41.3855590467007, 2.13012957377258 41.3852150666448, 2.12983332105392 41.3851240368966, 2.1296433211169 41.3854618386898, 2.12994164918398 41.3855590467007)), ((2.14841862957124 41.398222917395, 2.14862468694463 41.398017829095, 2.1482026215745 41.3977767456137, 2.14799207087222 41.3979801737713, 2.14841862957124 41.398222917395)))"
04-2024G0044,Sarrià-Sant Gervasi,Desconocido,Urbanització,2028983.79,1821952.3,2025-01-13,2025-08-08,207,Finalitzada,Sin título,AMBITEC Servicios Ambientales S.A.U,"MULTIPOLYGON (((2.12580313774943 41.3788339150885, 2.1260374999868 41.3789797637813, 2.12657705740656 41.3784475954803, 2.12584024797283 41.3780187278344, 2.12547399885892 41.3786008679416, 2.12582913099105 41.3788026430932, 2.12580313774943 41.3788339150885)), ((2.12342212748388 41.3790627859937, 2.12555234691716 41.3805140826027, 2.1255834417277 41.3805241681416, 2.12561206397061 41.3805215333095, 2.12652306772995 41.3799960593087, 2.12652645126615 41.3799818915334, 2.12651502476851 41.3799660374046, 2.12540352145427 41.3792580367015, 2.12533385175992 41.3790490181542, 2.12398035527633 41.3782277389263, 2.12342212748388 41.3790627859937)), ((2.12994164918398 41.3855590467007, 2.13012957377258 41.3852150666448, 2.12983332105392 41.3851240368966, 2.1296433211169 41.3854618386898, 2.12994164918398 41.3855590467007)), ((2.14841862957124 41.398222917395, 2.14862468694463 41.398017829095, 2.1482026215745 41.3977767456137, 2.14799207087222 41.3979801737713, 2.14841862957124 41.398222917395)))"
02-2023G0048,Eixample, la Dreta de l'Eixample,Urbanització,,,2023-12-18,2024-01-17,30,Finalitzada,Arranjament de la vorera del carrer de Còrsega entre els carrers de Girona i de Bruc,"Constraula Enginyeria i Obres, S.A.","POLYGON ((2.16326279218515 41.3993668042619, 2.1632172220167 41.3994018199965, 2.16394723848708 41.3999448838888, 2.16399597676711 41.3999116067682, 2.16326279218515 41.3993668042619))"
